Central,TR,RINGNO,species,age,sex,fat,pec,wing,mass,hr,min,day,month,year,location,INITIAL,BP,moult,BODYMOULT,HEADMOULT,CRINGED,NOTES
BTO,N,R433861,WHINC,4,F,2,2,78,15.4,09,30,05,05,2003,ACESB,DBN,0,O,,,,
BTO,N,R669966,WHINC,3,F,0,2,81,14.6,06,45,18,10,2003,ACESB,UON,0,O,,,,
BTO,N,R669968,WHINC,3,F,0,2,76,13.3,07,15,18,10,2003,ACESB,UON,0,O,,,,
BTO,N,R669982,WHINC,3,F,0,2,76,13.8,07,00,19,10,2003,ACESB,UON,0,O,,,,
BTO,N,R808008,WHINC,3,M,0,2,77,14.2,08,15,10,11,2003,ACESB,UON,0,O,,,,
BTO,N,R808279,WHINC,5,M,1,1,80,,10,00,05,04,2004,ACESB,MJB,,,,,1,
BTO,N,R808283,WHINC,5,F,0,1,78,21,07,30,06,04,2004,ACESB,ROL,,,,,1,
BTO,N,R808286,WHINC,5,M,3,2,80,19.5,08,00,06,04,2004,ACESB,ROL,,,,,1,
BTO,N,R808288,WHINC,5,M,0,2,80,22.5,08,00,06,04,2004,ACESB,ROL,,,,,1,
BTO,N,R808289,WHINC,5,M,4,2,76,15.8,08,15,06,04,2004,ACESB,ROL,,,,,1,
BTO,N,R808292,WHINC,5,F,1,1,75,15,08,30,06,04,2004,ACESB,ROL,,,,,1,
BTO,N,R808332,WHINC,3,M,4,2,79,16.4,09,30,25,10,2003,ACESB,UON,0,O,,,,
BTO,N,R808336,WHINC,4,F,0,1,78,15.5,07,00,26,10,2003,ACESB,UON,0,O,,,,
BTO,N,R808338,WHINC,4,F,1,1,82,15.7,10,30,26,10,2003,ACESB,UON,0,O,,,,
BTO,N,R808343,WHINC,3,F,2,2,75,14.4,19,00,28,10,2003,AEOGU,UON,0,O,,,,
BTO,N,R808363,WHINC,3,F,1,2,77,14.6,18,30,31,10,2003,AEOGU,UON,0,O,,,,
BTO,N,R808379,WHINC,4,F,1,1,79,15.2,18,00,04,11,2003,AEOGU,UON,0,O,,,,
BTO,N,R808380,WHINC,3,M,2,2,75,14.8,18,00,04,11,2003,AEOGU,UON,0,O,,,,
BTO,N,R808385,WHINC,4,F,1,2,78,14.8,09,45,05,11,2003,ACESB,UON,0,O,,,,
BTO,N,R999111,WHINC,4,M,3,1,77,16.9,09,30,06,04,2004,ACESB,ROL,0,O,,,1,
BTO,N,R999112,WHINC,4,M,4,1,75,16.7,10,00,06,04,2004,ACESB,ROL,0,O,,,1,
